fold,accuracy,precision,recall,roc_auc
0,0.9310344827586207,0.875,1.0,0.9761904761904762
1,0.7241379310344828,0.65,0.9285714285714286,0.9476190476190476
2,0.6551724137931034,0.8333333333333334,0.35714285714285715,0.8142857142857143
3,0.8275862068965517,0.8461538461538461,0.7857142857142857,0.8476190476190476
4,0.7586206896551724,0.8333333333333334,0.6666666666666666,0.8904761904761904
None,0.7793103448275861,0.8075641025641026,0.7476190476190475,0.8952380952380953
None,0.09405642549645417,0.08023879547826451,0.22667867115070295,0.06023386019368341
