fold,accuracy,precision,recall,roc_auc
0,0.7076923076923077,0.8260869565217391,0.5588235294117647,0.8643263757115749
1,0.7384615384615385,0.7741935483870968,0.7058823529411765,0.8757115749525617
2,0.7846153846153846,0.8333333333333334,0.7352941176470589,0.8671726755218216
3,0.7692307692307693,0.7777777777777778,0.8,0.8828571428571429
4,0.78125,0.7777777777777778,0.8235294117647058,0.8588235294117647
None,0.75625,0.7978338787595449,0.7247058823529411,0.8697782596909732
None,0.02923140181501744,0.02616030302337203,0.093186571050884,0.008517976733300904
