fold,accuracy,precision,recall,roc_auc
0,0.7241379310344828,0.6363636363636364,1.0,0.9428571428571428
1,0.7586206896551724,0.6666666666666666,1.0,0.9476190476190476
2,0.6206896551724138,0.6666666666666666,0.42857142857142855,0.7190476190476189
3,0.7241379310344828,0.6875,0.7857142857142857,0.7666666666666667
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8380952380952381
None,0.7310344827586206,0.7147727272727272,0.7895238095238095,0.8428571428571427
None,0.0668645497574666,0.10225589087006602,0.21074105291380688,0.09179490102873517
