fold,accuracy,precision,recall,roc_auc
0,0.7931034482758621,0.7857142857142857,0.7857142857142857,0.8999999999999999
1,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.9619047619047619
2,0.7586206896551724,1.0,0.5,0.8476190476190476
3,0.7586206896551724,0.8181818181818182,0.6428571428571429,0.8095238095238095
4,0.8620689655172413,0.9230769230769231,0.8,0.8666666666666667
None,0.8068965517241379,0.8768231768231768,0.7171428571428571,0.8771428571428572
None,0.04677468953879494,0.07673186140783515,0.12948879078428183,0.05149906984607914
