fold,accuracy,precision,recall,roc_auc
0,0.7384615384615385,0.7741935483870968,0.7058823529411765,0.8263757115749526
1,0.7692307692307693,0.8064516129032258,0.7352941176470589,0.8633776091081594
2,0.9230769230769231,1.0,0.8529411764705882,0.9108159392789373
3,0.7384615384615385,0.7647058823529411,0.7428571428571429,0.820952380952381
4,0.78125,0.8333333333333334,0.7352941176470589,0.8480392156862745
None,0.790096153846154,0.8357368753953194,0.7544537815126051,0.8539121713201409
None,0.06859995730327997,0.08564900558721603,0.05084804441876981,0.03226989099668548
