fold,accuracy,precision,recall,roc_auc
0,0.896551724137931,0.8666666666666667,0.9285714285714286,0.9523809523809523
1,0.9655172413793104,1.0,0.9285714285714286,0.9857142857142858
2,0.6206896551724138,0.8,0.2857142857142857,0.7809523809523808
3,0.5517241379310345,0.5238095238095238,0.7857142857142857,0.8095238095238095
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8857142857142857
None,0.7724137931034483,0.8214285714285715,0.7323809523809524,0.8828571428571429
None,0.15966671590055484,0.1625058868635414,0.23636322407715024,0.07897299977763005
