fold,accuracy,precision,recall,roc_auc
0,0.8620689655172413,0.8125,0.9285714285714286,0.9523809523809524
1,0.8620689655172413,0.8125,0.9285714285714286,0.9238095238095239
2,0.7241379310344828,0.875,0.5,0.7714285714285714
3,0.7586206896551724,1.0,0.5,0.8523809523809524
4,0.8620689655172413,0.8666666666666667,0.8666666666666667,0.8523809523809525
None,0.8137931034482758,0.8733333333333334,0.7447619047619047,0.8704761904761906
None,0.06012274404883686,0.06854641574226264,0.20112157174533815,0.06327422949284991
