fold,accuracy,precision,recall,roc_auc
0,0.8275862068965517,0.7368421052631579,1.0,0.9571428571428572
1,0.8275862068965517,0.8,0.8571428571428571,0.9047619047619048
2,0.6551724137931034,0.75,0.42857142857142855,0.7761904761904762
3,0.896551724137931,0.9230769230769231,0.8571428571428571,0.8809523809523809
4,0.7241379310344828,0.8181818181818182,0.6,0.8666666666666666
None,0.7862068965517242,0.8056201693043799,0.7485714285714286,0.877142857142857
None,0.0855839561792473,0.06604467527215213,0.20555549426977085,0.059124374076833366
