fold,accuracy,precision,recall,roc_auc
0,0.8620689655172413,0.8125,0.9285714285714286,0.942857142857143
1,0.896551724137931,1.0,0.7857142857142857,0.9333333333333333
2,0.6896551724137931,0.8571428571428571,0.42857142857142855,0.7619047619047619
3,0.7931034482758621,0.7857142857142857,0.7857142857142857,0.7714285714285715
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8809523809523809
None,0.8137931034482758,0.8744047619047619,0.7323809523809524,0.858095238095238
None,0.07100434579991033,0.07688485663079773,0.16521545062347093,0.07762927189453273
