fold,accuracy,precision,recall,roc_auc
0,0.7846153846153846,0.7777777777777778,0.8235294117647058,0.8690702087286527
1,0.7384615384615385,0.717948717948718,0.8235294117647058,0.8700189753320683
2,0.8461538461538461,0.8333333333333334,0.8823529411764706,0.9060721062618596
3,0.8307692307692308,0.8529411764705882,0.8285714285714286,0.8733333333333333
4,0.765625,0.8064516129032258,0.7352941176470589,0.7745098039215685
None,0.7931250000000001,0.7976905236867287,0.8186554621848738,0.8586008855154965
None,0.040114596385795356,0.04723361986720731,0.04722778790379658,0.044230874567642686
