fold,accuracy,precision,recall,roc_auc
0,0.896551724137931,0.8235294117647058,1.0,0.9523809523809524
1,0.896551724137931,1.0,0.7857142857142857,0.8952380952380952
2,0.6896551724137931,1.0,0.35714285714285715,0.8380952380952381
3,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.8428571428571427
4,0.7931034482758621,0.9090909090909091,0.6666666666666666,0.8999999999999999
None,0.8275862068965518,0.9179526355996943,0.7333333333333333,0.8857142857142858
None,0.07863278793787157,0.07232654362286582,0.21686281022353712,0.04205600412537073
