fold,accuracy,precision,recall,roc_auc
0,0.7692307692307693,0.7714285714285715,0.7941176470588235,0.8216318785578747
1,0.7692307692307693,0.7435897435897436,0.8529411764705882,0.8415559772296015
2,0.7692307692307693,0.7878787878787878,0.7647058823529411,0.8719165085388995
3,0.8153846153846154,0.96,0.6857142857142857,0.8847619047619047
4,0.828125,0.8285714285714286,0.8529411764705882,0.8784313725490197
None,0.7902403846153847,0.8182937062937062,0.7900840336134454,0.8596595283274601
None,0.026044915970856827,0.07601104580648897,0.06237853106909209,0.024110519328250507
