fold,accuracy,precision,recall,roc_auc
0,0.896551724137931,0.9230769230769231,0.8571428571428571,0.980952380952381
1,0.896551724137931,0.8666666666666667,0.9285714285714286,0.9238095238095239
2,0.7586206896551724,1.0,0.5,0.7761904761904761
3,0.6896551724137931,0.6923076923076923,0.6428571428571429,0.7285714285714285
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8952380952380952
None,0.8137931034482759,0.8797435897435898,0.7323809523809524,0.8609523809523811
None,0.08042692268752138,0.10296204850309003,0.15236309419165564,0.09405937238191539
