fold,accuracy,precision,recall,roc_auc
0,0.9655172413793104,1.0,0.9285714285714286,0.9761904761904763
1,0.8275862068965517,0.8,0.8571428571428571,0.9476190476190476
2,0.6896551724137931,1.0,0.35714285714285715,0.8333333333333333
3,0.7586206896551724,0.7333333333333333,0.7857142857142857,0.8333333333333333
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8761904761904762
None,0.8137931034482758,0.89,0.7323809523809524,0.8933333333333333
None,0.09149309766497654,0.10728984626287388,0.1988492974186739,0.05883217223421148
