fold,accuracy,precision,recall,roc_auc
0,0.8275862068965517,0.8461538461538461,0.7857142857142857,0.9476190476190477
1,0.9310344827586207,0.9285714285714286,0.9285714285714286,0.9761904761904763
2,0.7586206896551724,0.8888888888888888,0.5714285714285714,0.819047619047619
3,0.6896551724137931,0.6666666666666666,0.7142857142857143,0.7952380952380953
4,0.7931034482758621,0.8461538461538461,0.7333333333333333,0.8714285714285714
None,0.8,0.8352869352869352,0.7466666666666667,0.881904761904762
None,0.0798333579502774,0.08971526136666046,0.11536789227030815,0.07039892804790986
