fold,accuracy,precision,recall,roc_auc
0,0.7586206896551724,0.7333333333333333,0.7857142857142857,0.9285714285714286
1,0.8620689655172413,0.9166666666666666,0.7857142857142857,0.9333333333333333
2,0.6896551724137931,0.7777777777777778,0.5,0.8666666666666667
3,0.8275862068965517,0.8,0.8571428571428571,0.9047619047619048
4,0.7931034482758621,0.8,0.8,0.8952380952380952
None,0.7862068965517242,0.8055555555555556,0.7457142857142858,0.9057142857142857
None,0.05932638115201809,0.06065486250647191,0.12564933387026297,0.02416871912466576
