fold,accuracy,precision,recall,roc_auc
0,0.7846153846153846,0.7941176470588235,0.7941176470588235,0.8481973434535105
1,0.7230769230769231,0.8333333333333334,0.5882352941176471,0.8605313092979128
2,0.7846153846153846,0.7631578947368421,0.8529411764705882,0.8851992409867173
3,0.7692307692307693,0.7777777777777778,0.8,0.8561904761904763
4,0.765625,0.8518518518518519,0.6764705882352942,0.8441176470588235
None,0.7654326923076923,0.8040477009517257,0.7423529411764707,0.8588472033974881
None,0.022558479230814756,0.03347708527767762,0.09625513961921298,0.01438543460588316
