fold,accuracy,precision,recall,roc_auc
0,0.896551724137931,0.9230769230769231,0.8571428571428571,0.9238095238095239
1,0.8275862068965517,0.8,0.8571428571428571,0.9095238095238095
2,0.6551724137931034,1.0,0.2857142857142857,0.819047619047619
3,0.7931034482758621,0.7857142857142857,0.7857142857142857,0.8380952380952382
4,0.7931034482758621,0.9090909090909091,0.6666666666666666,0.8857142857142857
None,0.7931034482758621,0.8835764235764236,0.6904761904761905,0.8752380952380954
None,0.0786327879378716,0.08040863658076543,0.21402100051661171,0.040450972536372
