fold,accuracy,precision,recall,roc_auc
0,0.8275862068965517,0.7647058823529411,0.9285714285714286,0.9523809523809524
1,0.7586206896551724,0.7333333333333333,0.7857142857142857,0.8714285714285714
2,0.7241379310344828,1.0,0.42857142857142855,0.8047619047619048
3,0.6551724137931034,0.6111111111111112,0.7857142857142857,0.7619047619047619
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8523809523809525
None,0.7586206896551724,0.8051633986928104,0.7323809523809524,0.8485714285714288
None,0.06542643434831129,0.13772940079112694,0.16521545062347093,0.06441081302442257
