fold,accuracy,precision,recall,roc_auc
0,0.7538461538461538,0.7647058823529411,0.7647058823529411,0.8130929791271347
1,0.8,0.8,0.8235294117647058,0.8595825426944971
2,0.8307692307692308,0.8108108108108109,0.8823529411764706,0.9060721062618596
3,0.7846153846153846,0.8888888888888888,0.6857142857142857,0.8809523809523809
4,0.75,0.7142857142857143,0.8823529411764706,0.8852941176470589
None,0.7838461538461539,0.795738259267671,0.8077310924369747,0.8689988253365863
None,0.030029571224527922,0.05748027408413263,0.07500092977791492,0.03161323210650388
