fold,accuracy,precision,recall,roc_auc
0,0.7931034482758621,0.75,0.8571428571428571,0.8571428571428571
1,0.9310344827586207,1.0,0.8571428571428571,0.9047619047619048
2,0.6206896551724138,1.0,0.21428571428571427,0.7047619047619048
3,0.7241379310344828,0.75,0.6428571428571429,0.7238095238095239
4,0.6551724137931034,0.7777777777777778,0.4666666666666667,0.7761904761904762
None,0.7448275862068965,0.8555555555555555,0.6076190476190476,0.7933333333333333
None,0.11034482758620688,0.11837375418145843,0.2450896453144498,0.07675977782708523
