fold,accuracy,precision,recall,roc_auc
0,0.8,0.7837837837837838,0.8529411764705882,0.851043643263757
1,0.7692307692307693,0.7317073170731707,0.8823529411764706,0.8757115749525617
2,0.8461538461538461,0.8333333333333334,0.8823529411764706,0.9089184060721063
3,0.8615384615384616,0.90625,0.8285714285714286,0.8742857142857143
4,0.765625,0.8064516129032258,0.7352941176470589,0.780392156862745
None,0.8085096153846155,0.8123052094187028,0.8363025210084034,0.858070299087377
None,0.03920070963764144,0.05763950422356016,0.054370202484039856,0.04299523685170315
