fold,accuracy,precision,recall,roc_auc
0,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.9571428571428572
1,0.7586206896551724,0.7333333333333333,0.7857142857142857,0.8857142857142857
2,0.6896551724137931,0.8571428571428571,0.42857142857142855,0.8571428571428572
3,0.7931034482758621,0.8333333333333334,0.7142857142857143,0.8476190476190477
4,0.7241379310344828,0.8888888888888888,0.5333333333333333,0.8476190476190476
None,0.7655172413793103,0.8339682539682538,0.6638095238095237,0.8790476190476191
None,0.05932638115201808,0.053325774218656675,0.15946622983581785,0.041469602013480454
