fold,accuracy,precision,recall,roc_auc
0,0.8620689655172413,0.8125,0.9285714285714286,0.9238095238095239
1,0.9310344827586207,0.9285714285714286,0.9285714285714286,0.9857142857142858
2,0.7241379310344828,1.0,0.42857142857142855,0.7523809523809524
3,0.7241379310344828,0.7142857142857143,0.7142857142857143,0.8476190476190476
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.9047619047619048
None,0.8137931034482758,0.874404761904762,0.7466666666666667,0.8828571428571429
None,0.08042692268752137,0.09996456288205109,0.18362438245559756,0.07874295850893102
