fold,accuracy,precision,recall,roc_auc
0,0.8275862068965517,0.8,0.8571428571428571,0.9190476190476191
1,0.7931034482758621,0.7222222222222222,0.9285714285714286,0.9714285714285715
2,0.7931034482758621,0.9,0.6428571428571429,0.8904761904761904
3,0.8620689655172413,0.9166666666666666,0.7857142857142857,0.8809523809523808
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8476190476190476
None,0.8206896551724137,0.8511111111111112,0.7895238095238095,0.9019047619047619
None,0.025804533701889218,0.07773014414396755,0.0985794797724128,0.04157881895798687
