fold,accuracy,precision,recall,roc_auc
0,0.8275862068965517,0.8,0.8571428571428571,0.8952380952380953
1,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.9333333333333332
2,0.7586206896551724,0.8181818181818182,0.6428571428571429,0.8476190476190476
3,0.7241379310344828,1.0,0.42857142857142855,0.8285714285714286
4,0.8620689655172413,0.9230769230769231,0.8,0.9333333333333333
None,0.8068965517241379,0.8796803196803197,0.7171428571428571,0.8876190476190476
None,0.05602785106645489,0.07348339527694513,0.16422980415085617,0.04318393923335096
