fold,accuracy,precision,recall,roc_auc
0,0.7931034482758621,0.7222222222222222,0.9285714285714286,0.9714285714285715
1,0.8620689655172413,1.0,0.7142857142857143,0.9095238095238095
2,0.6896551724137931,1.0,0.35714285714285715,0.8047619047619048
3,0.7241379310344828,0.6666666666666666,0.8571428571428571,0.8619047619047618
4,0.7586206896551724,0.8333333333333334,0.6666666666666666,0.8428571428571427
None,0.7655172413793103,0.8444444444444444,0.7047619047619047,0.8780952380952382
None,0.05932638115201809,0.13788526273323176,0.19783407693181893,0.0575855865060228
