fold,accuracy,precision,recall,roc_auc
0,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.9523809523809524
1,0.896551724137931,0.9230769230769231,0.8571428571428571,0.9666666666666668
2,0.7241379310344828,1.0,0.42857142857142855,0.7428571428571429
3,0.6896551724137931,0.6470588235294118,0.7857142857142857,0.7857142857142857
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8476190476190476
None,0.8,0.8687890540831716,0.7323809523809524,0.8590476190476191
None,0.0798333579502774,0.11979622688512598,0.15891925244659927,0.08865843141132979
