fold,accuracy,precision,recall,roc_auc
0,0.7692307692307693,0.7714285714285715,0.7941176470588235,0.816888045540797
1,0.7384615384615385,0.7575757575757576,0.7352941176470589,0.8387096774193548
2,0.8461538461538461,0.875,0.8235294117647058,0.9117647058823529
3,0.8307692307692308,0.8157894736842105,0.8857142857142857,0.8761904761904762
4,0.734375,0.7931034482758621,0.6764705882352942,0.8
None,0.783798076923077,0.8025794501928804,0.7830252100840335,0.8487105810065962
None,0.04648608384370811,0.0412425628793931,0.07202891556615132,0.04053734041892257
