fold,accuracy,precision,recall,roc_auc
0,0.7384615384615385,0.8148148148148148,0.6470588235294118,0.823529411764706
1,0.7846153846153846,0.8846153846153846,0.6764705882352942,0.8757115749525617
2,0.8307692307692308,0.8709677419354839,0.7941176470588235,0.866223908918406
3,0.8153846153846154,0.8108108108108109,0.8571428571428571,0.8971428571428571
4,0.734375,0.7741935483870968,0.7058823529411765,0.8235294117647058
None,0.7807211538461539,0.8310804601127183,0.7361344537815127,0.8572274329086473
None,0.03912894496813742,0.04091096190062778,0.07799297243813177,0.02928123780691573
