fold,accuracy,precision,recall,roc_auc
0,0.7931034482758621,0.7857142857142857,0.7857142857142857,0.8857142857142857
1,0.896551724137931,0.9230769230769231,0.8571428571428571,0.9380952380952382
2,0.6896551724137931,0.8571428571428571,0.42857142857142855,0.8238095238095238
3,0.8275862068965517,0.9090909090909091,0.7142857142857143,0.7999999999999999
4,0.8620689655172413,0.9230769230769231,0.8,0.8761904761904762
None,0.8137931034482758,0.8796203796203796,0.7171428571428571,0.8647619047619048
None,0.07100434579991033,0.05285649995049221,0.15129374051284258,0.0486180914975247
