fold,accuracy,precision,recall,roc_auc
0,0.8275862068965517,0.7647058823529411,0.9285714285714286,0.9095238095238096
1,0.8620689655172413,0.9166666666666666,0.7857142857142857,0.9285714285714286
2,0.6206896551724138,0.7142857142857143,0.35714285714285715,0.7952380952380953
3,0.7586206896551724,0.7692307692307693,0.7142857142857143,0.761904761904762
4,0.7931034482758621,0.8,0.8,0.838095238095238
None,0.7724137931034483,0.7929778065072183,0.7171428571428573,0.8466666666666667
None,0.08333135154203151,0.06768148074914672,0.192809517929177,0.06412855569345687
