fold,accuracy,precision,recall,roc_auc
0,0.896551724137931,0.8235294117647058,1.0,0.9714285714285714
1,0.896551724137931,1.0,0.7857142857142857,0.8904761904761904
2,0.7241379310344828,1.0,0.42857142857142855,0.842857142857143
3,0.8620689655172413,0.9166666666666666,0.7857142857142857,0.8476190476190475
4,0.8275862068965517,0.9166666666666666,0.7333333333333333,0.8952380952380953
None,0.8413793103448276,0.9313725490196078,0.7466666666666666,0.8895238095238096
None,0.0639559896241083,0.0655471162762619,0.1836243824555975,0.046207655126507444
