fold,accuracy,precision,recall,roc_auc
0,0.8620689655172413,0.8125,0.9285714285714286,0.9
1,0.896551724137931,0.8666666666666667,0.9285714285714286,0.9714285714285715
2,0.6206896551724138,1.0,0.21428571428571427,0.7523809523809524
3,0.7586206896551724,0.7333333333333333,0.7857142857142857,0.7857142857142857
4,0.7931034482758621,0.9090909090909091,0.6666666666666666,0.9
None,0.7862068965517242,0.8643181818181818,0.7047619047619047,0.8619047619047618
None,0.09605785018747669,0.0897349684049495,0.2641033261688009,0.08086830367753825
