fold,accuracy,precision,recall,roc_auc
0,0.7384615384615385,0.717948717948718,0.8235294117647058,0.8036053130929791
1,0.8,0.8620689655172413,0.7352941176470589,0.9022770398481973
2,0.8,0.8620689655172413,0.7352941176470589,0.9193548387096774
3,0.8153846153846154,0.8108108108108109,0.8571428571428571,0.8419047619047619
4,0.78125,0.8333333333333334,0.7352941176470589,0.8568627450980393
None,0.7870192307692309,0.8172461586254689,0.7773109243697479,0.8648009397307309
None,0.026580930344669376,0.05325102938318488,0.052546212439877206,0.04174383927352985
