fold,accuracy,precision,recall,roc_auc
0,0.7384615384615385,0.7428571428571429,0.7647058823529411,0.8406072106261859
1,0.7692307692307693,0.7567567567567568,0.8235294117647058,0.849146110056926
2,0.8615384615384616,0.8571428571428571,0.8823529411764706,0.9003795066413663
3,0.8461538461538461,0.8378378378378378,0.8857142857142857,0.8885714285714286
4,0.734375,0.8695652173913043,0.5882352941176471,0.8205882352941176
None,0.7899519230769231,0.8128319623971798,0.7889075630252101,0.8598584982380049
None,0.05376375907561551,0.05262758873294693,0.1096880426679626,0.02997967770772218
