fold,accuracy,precision,recall,roc_auc
0,0.7538461538461538,0.7368421052631579,0.8235294117647058,0.8149905123339658
1,0.7846153846153846,0.8125,0.7647058823529411,0.8662239089184061
2,0.7846153846153846,0.75,0.8823529411764706,0.8671726755218215
3,0.8,0.8666666666666667,0.7428571428571429,0.9076190476190477
4,0.8125,0.8666666666666667,0.7647058823529411,0.8656862745098038
None,0.7871153846153846,0.8065350877192984,0.7956302521008404,0.8643384837806091
None,0.019645527367880215,0.055354352491894104,0.05098396269086013,0.02940011395453349
