fold,accuracy,precision,recall,roc_auc
0,0.896551724137931,0.8666666666666667,0.9285714285714286,0.9190476190476191
1,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.980952380952381
2,0.6206896551724138,1.0,0.21428571428571427,0.7476190476190476
3,0.7241379310344828,0.6875,0.7857142857142857,0.8095238095238095
4,0.7931034482758621,0.9090909090909091,0.6666666666666666,0.9
None,0.7793103448275862,0.8640800865800866,0.6904761904761905,0.8714285714285716
None,0.09898413858211946,0.10172073488981237,0.253322591967055,0.08275308189039415
