fold,accuracy,precision,recall,roc_auc
0,0.6153846153846154,0.68,0.5,0.7751423149905123
1,0.7846153846153846,0.75,0.8823529411764706,0.8946869070208728
2,0.8153846153846154,0.8235294117647058,0.8235294117647058,0.8908918406072107
3,0.8153846153846154,0.8285714285714286,0.8285714285714286,0.8885714285714285
4,0.75,0.8214285714285714,0.6764705882352942,0.7852941176470588
None,0.7561538461538462,0.7807058823529414,0.7421848739495799,0.8469173217674166
None,0.07440493716519227,0.058082404466726356,0.13906727741551922,0.054589059489979476
