fold,accuracy,precision,recall,roc_auc
0,0.7846153846153846,0.7941176470588235,0.7941176470588235,0.8434535104364326
1,0.7692307692307693,0.8518518518518519,0.6764705882352942,0.8595825426944972
2,0.8153846153846154,0.84375,0.7941176470588235,0.8662239089184061
3,0.8615384615384616,0.9333333333333333,0.8,0.8895238095238095
4,0.78125,0.8125,0.7647058823529411,0.8401960784313726
None,0.8024038461538462,0.8471105664488018,0.7658823529411765,0.8597959700009035
None,0.03325588883208258,0.047904654343255464,0.04637741963394591,0.017755788502883518
