fold,accuracy,precision,recall,roc_auc
0,0.8620689655172413,0.8571428571428571,0.8571428571428571,0.9619047619047619
1,0.896551724137931,0.9230769230769231,0.8571428571428571,0.9666666666666668
2,0.6551724137931034,0.8333333333333334,0.35714285714285715,0.8809523809523809
3,0.7931034482758621,0.9,0.6428571428571429,0.7857142857142857
4,0.7241379310344828,0.8181818181818182,0.6,0.8714285714285714
None,0.7862068965517242,0.8663469863469864,0.6628571428571428,0.8933333333333333
None,0.08831895499907377,0.039611391678161634,0.18617525208737037,0.06677542149698329
