fold,accuracy,precision,recall,roc_auc
0,0.9310344827586207,0.875,1.0,0.9619047619047619
1,0.896551724137931,1.0,0.7857142857142857,0.8904761904761904
2,0.6896551724137931,1.0,0.35714285714285715,0.8571428571428572
3,0.7931034482758621,0.8333333333333334,0.7142857142857143,0.8238095238095238
4,0.7931034482758621,0.9090909090909091,0.6666666666666666,0.8952380952380952
None,0.8206896551724139,0.9234848484848485,0.7047619047619047,0.8857142857142858
None,0.08558395617924727,0.06692443280411446,0.20789409478993404,0.045971498613893984
